Id,Id2,Geography,Id,Population_Group,Estimate_Total,Estimate_Veteran,Estimate_Nonveteran
0400000US01,1,Alabama,1,Total population,3705690,363170,3342520
0400000US04,4,Arizona,1,Total population,5007440,505794,4501646
0400000US05,5,Arkansas,1,Total population,2245625,220953,2024672
0400000US06,6,California,1,Total population,29115176,1777410,27337766
0400000US08,8,Colorado,1,Total population,4004634,391725,3612909
0400000US09,9,Connecticut,1,Total population,2800025,199331,2600694
0400000US10,10,Delaware,1,Total population,719332,71213,648119
0400000US12,12,Florida,1,Total population,15551250,1507738,14043512
0400000US13,13,Georgia,1,Total population,7466582,670617,6795965
0400000US16,16,Idaho,1,Total population,1183548,119711,1063837
0400000US17,17,Illinois,1,Total population,9832607,668933,9163674
0400000US18,18,Indiana,1,Total population,4978964,426493,4552471
0400000US19,19,Iowa,1,Total population,2365180,211066,2154114
0400000US20,20,Kansas,1,Total population,2152041,198396,1953645
0400000US21,21,Kentucky,1,Total population,3366540,297312,3069228
0400000US22,22,Louisiana,1,Total population,3496000,281989,3214011
0400000US23,23,Maine,1,Total population,1065127,119058,946069
0400000US24,24,Maryland,1,Total population,4555597,403900,4151697
0400000US25,25,Massachusetts,1,Total population,5303395,355083,4948312
0400000US26,26,Michigan,1,Total population,7647177,626722,7020455
0400000US27,27,Minnesota,1,Total population,4136443,342388,3794055
0400000US28,28,Mississippi,1,Total population,2241286,184774,2056512
0400000US29,29,Missouri,1,Total population,4625416,451342,4174074
0400000US30,30,Montana,1,Total population,786786,90000,696786
0400000US31,31,Nebraska,1,Total population,1399725,132918,1266807
0400000US32,32,Nevada,1,Total population,2128243,220332,1907911
0400000US33,33,New Hampshire,1,Total population,1051190,106827,944363
0400000US34,34,New Jersey,1,Total population,6873695,393277,6480418
0400000US35,35,New Mexico,1,Total population,1568495,164157,1404338
0400000US36,36,New York,1,Total population,15397847,828586,14569261
0400000US37,37,North Carolina,1,Total population,7478600,696119,6782481
0400000US38,38,North Dakota,1,Total population,552988,51179,501809
0400000US39,39,Ohio,1,Total population,8911658,806531,8105127
0400000US40,40,Oklahoma,1,Total population,2883592,295847,2587745
0400000US41,41,Oregon,1,Total population,3076391,306723,2769668
0400000US42,42,Pennsylvania,1,Total population,10052453,870770,9181683
0400000US44,44,Rhode Island,1,Total population,835607,66076,769531
0400000US45,45,South Carolina,1,Total population,3665349,378959,3286390
0400000US46,46,South Dakota,1,Total population,632607,63742,568865
0400000US47,47,Tennessee,1,Total population,4989249,462414,4526835
0400000US48,48,Texas,1,Total population,19384188,1539655,17844533
0400000US49,49,Utah,1,Total population,2001677,134332,1867345
0400000US50,50,Vermont,1,Total population,502860,44708,458152
0400000US51,51,Virginia,1,Total population,6281984,706539,5575445
0400000US53,53,Washington,1,Total population,5340310,564864,4775446
0400000US54,54,West Virginia,1,Total population,1468235,150021,1318214
0400000US55,55,Wisconsin,1,Total population,4430290,381940,4048350
0400000US56,56,Wyoming,1,Total population,439526,48505,391021
